kind,path,produced_by,primary_inputs,used_by,notes
dependencies,requirements.lock,uv pip compile,requirements.txt,new instances,"Pinned environment; install with uv pip sync requirements.lock."
policy,assistant_policy.py,manual implementation,assistant_policy_v2 requirements,"evaluator.py; report_generator.py; policy_replay.py; rescore_policy_outcomes.py; run_guardrail_replay.py","Defines metric_definition_version and deterministic guardrail-block outcomes."
prompts,system_prompts/system_prompts.yaml,manual implementation,policy docs,"run_eval.py; model_runner.py; safety_judge.py","Named assistant, guardrail, Granite-native, and judge prompts."
guardrail_profiles,guardrails.py,manual implementation,guardrail model contracts,"probe_guardrail_profiles.py; run_eval.py; run_guardrail_replay.py; run_matrix_eval.py","Registry for Granite, Nemotron, WildGuard, Llama Guard, ShieldGemma profiles and parsers."
dataset,prompt_packs/minorbench_hateful.json,prompt_packs/build_minorbench_hateful.py,MinorBench hateful source,"run_eval.py; probe_guardrail_profiles.py; run_matrix_eval.py","Current harmful prompt slice."
dataset,datasets/true_negative_safe_sensitive_variants.jsonl,datasets/build_safe_sensitive_variants.py,datasets/true_negative_safe_sensitive.jsonl,"run_eval.py; probe_guardrail_profiles.py; run_matrix_eval.py","Current safe-control prompts with mutations."
script,run_eval.py,manual implementation,"prompt pack; datasets; model config; guardrail profile","runs/evals/*","Runs one eval and writes raw and summary artifacts."
script,probe_guardrail_profiles.py,manual implementation,matrix config,"runs/matrix/*/probe or probe dirs","Operational validity gate before expensive guardrail claims."
script,run_guardrail_replay.py,manual implementation,"baseline run; guardrail profile; optional decision run","runs/replay/*","Primary paired counterfactual guardrail evaluation."
script,rescore_policy_outcomes.py,manual implementation,existing run dir,"derived runs/evals/*","Corrects historical run labels under assistant_policy_v2.1 without modifying original run."
script,aggregate_matrix.py,manual implementation,matrix manifest,"runs/matrix/*/matrix_*.csv; matrix_report.md","Aggregates row x mutation metrics and rejects mixed metric versions."
script,run_matrix_eval.py,manual implementation,matrix config,"runs/matrix/*","End-to-end operational validation matrix."
script,analyze_guardrail_failures.py,manual implementation,guardrail matrix/run artifacts,"guardrail_failure_mode_analysis.md; guardrail_failure_mode_samples.json","Diagnoses parser, adapter, malformed, overblock, and harmful-allow failure modes."
script,evaluate_judge_quality.py,manual implementation,"run dir; optional audited safe subset","judge_quality.json; judge_quality.md; judge_disagreements.csv","Judge-quality sidecar; not headline assistant-policy correctness."
artifact,runs/evals/mistral-small-32-24b-instruct-2506/assistant_child_safety_v2/20260610_baseline_policy_v2_1,rescore_policy_outcomes.py,historical Mistral assistant-only baseline,run_guardrail_replay.py,"Canonical assistant-only baseline under assistant_policy_v2.1."
artifact,runs/evals/mistral-small-32-24b-instruct-2506/assistant_child_safety_v2/20260610_derived_policy_v2_1,rescore_policy_outcomes.py,historical Mistral+Granite run,docs/current_granite_vs_baseline_tables.md,"Independent end-to-end Granite validation."
artifact,runs/replay/mistral_granite_3_2_hateful_policy_v2_1_canonical_20260610,run_guardrail_replay.py,"canonical baseline; validated Granite decisions",docs/current_granite_vs_baseline_tables.md,"Primary controlled-replay estimate."
report,docs/current_granite_vs_baseline_tables.md,manual collation,"canonical baseline; canonical replay; independent validation",collaborators,"Best current audience-facing result table."
report,docs/repo_structure_and_usage.md,manual documentation,repository state,new instances and collaborators,"Start here for repo navigation and dependency map."
